,first,second,third,fourth,fifth,Total Score,Average Score,gender
0,8.11,7.68,7.11,7.43,8.18,38.51,7.702,0
1,6.48,5.9,4.15,4.29,4.96,25.78,5.156000000000001,1
2,8.41,8.24,7.52,8.25,7.75,40.17,8.034,0
3,7.33,6.83,6.33,6.79,6.89,34.17,6.8340000000000005,1
4,7.89,7.34,7.22,7.32,7.46,37.23,7.446,1
5,7.33,6.72,6.48,6.5,7.39,34.42,6.884,1
6,7.15,6.72,6.89,6.86,7.64,35.26,7.052,1
7,6.74,6.38,4.93,5.64,6.75,30.44,6.088,1
8,7.89,7.45,6.96,7.71,8.0,38.010000000000005,7.602000000000001,0
9,7.3,6.34,6.3,6.61,6.18,32.730000000000004,6.546000000000001,1
10,8.0,7.9,7.52,7.64,8.11,39.17,7.8340000000000005,1
11,6.78,4.28,5.81,6.04,6.39,29.3,5.86,1
12,5.67,5.62,5.48,5.93,6.75,29.45,5.89,1
13,6.33,6.41,6.41,6.93,7.0,33.08,6.616,1
14,6.44,6.21,6.19,6.68,6.86,32.38,6.476000000000001,1
15,6.3,6.17,5.59,5.89,6.36,30.31,6.061999999999999,1
16,6.96,6.14,6.93,7.18,7.29,34.5,6.9,1
17,6.7,6.45,5.78,6.0,6.61,31.54,6.308,1
18,7.41,6.93,7.33,7.71,8.46,37.84,7.5680000000000005,1
19,7.04,6.31,6.44,7.21,7.32,34.32,6.864,1
20,6.63,5.62,6.11,5.79,6.25,30.4,6.08,1
21,8.33,8.72,7.81,8.04,8.93,41.83,8.366,0
22,7.96,7.93,7.78,8.21,8.21,40.09,8.018,1
23,6.89,5.55,5.93,6.79,7.54,32.699999999999996,6.539999999999999,1
24,8.19,8.17,7.15,7.75,7.64,38.9,7.779999999999999,1
25,7.89,6.69,7.15,8.43,8.36,38.519999999999996,7.703999999999999,0
26,7.33,6.55,5.96,6.75,6.89,33.48,6.696,1
27,8.22,8.17,8.37,9.04,9.0,42.8,8.559999999999999,1
28,7.44,7.59,7.26,7.89,7.86,38.04,7.608,1
29,5.74,6.45,6.48,7.29,7.61,33.57,6.714,1
30,6.81,6.79,6.3,7.14,7.86,34.9,6.9799999999999995,0
31,8.89,8.31,7.3,9.25,8.5,42.25,8.45,0
32,8.04,7.59,7.22,8.32,8.82,39.989999999999995,7.997999999999999,1
33,8.3,8.38,7.63,7.93,8.75,40.989999999999995,8.197999999999999,1
34,8.04,6.69,6.37,6.64,6.64,34.38,6.876,1
35,7.44,7.97,7.78,8.64,8.71,40.540000000000006,8.108,1
36,7.85,6.9,7.04,7.82,8.39,38.0,7.6,0
37,8.07,7.34,7.59,7.89,8.14,39.03,7.806,1
38,7.59,7.38,7.3,8.64,8.21,39.120000000000005,7.824000000000001,1
39,8.19,7.66,7.48,8.68,8.89,40.9,8.18,1
40,5.81,5.83,4.15,4.93,4.86,25.58,5.116,1
41,6.3,6.24,5.85,6.36,7.0,31.75,6.35,1
42,7.78,6.93,7.44,7.86,8.21,38.22,7.644,1
43,8.22,6.66,7.07,7.29,7.61,36.85,7.37,1
44,7.67,7.07,7.04,7.07,6.93,35.78,7.156000000000001,1
45,8.41,7.59,7.41,7.89,8.11,39.41,7.882,1
46,7.59,7.83,6.89,7.32,8.5,38.129999999999995,7.6259999999999994,1
47,5.3,5.62,4.56,4.36,6.18,26.02,5.204,0
48,7.26,7.62,7.26,7.29,7.61,37.04,7.4079999999999995,1
49,7.93,7.83,7.81,8.32,8.68,40.57,8.114,1
50,8.11,8.55,7.3,8.11,9.14,41.21,8.242,1
51,7.26,7.9,7.26,7.71,8.39,38.52,7.704000000000001,1
52,6.59,7.72,6.26,7.61,7.29,35.47,7.093999999999999,1
53,7.89,7.97,7.33,7.46,8.5,39.15,7.83,1
54,7.67,8.0,7.7,8.07,8.68,40.120000000000005,8.024000000000001,0
55,7.85,8.41,7.67,8.71,9.39,42.03,8.406,1
56,7.04,6.38,6.78,7.54,7.39,35.129999999999995,7.025999999999999,1
57,7.26,7.21,6.93,6.86,8.04,36.3,7.26,1
59,8.19,8.48,8.0,8.46,8.89,42.02,8.404,1
60,6.52,6.76,6.52,7.21,7.57,34.58,6.9159999999999995,1
61,7.15,7.24,6.7,7.86,8.29,37.239999999999995,7.447999999999999,0
64,6.63,5.48,6.22,6.57,7.0,31.9,6.38,1
65,7.07,6.79,6.96,6.89,8.64,36.35,7.2700000000000005,1
66,7.33,7.76,7.04,7.18,8.11,37.42,7.484,1
67,7.59,7.28,6.7,7.68,8.18,37.43,7.486,0
68,7.0,7.07,7.04,7.43,8.36,36.9,7.38,0
69,7.33,7.55,7.63,6.14,8.39,37.04,7.4079999999999995,1
70,6.89,8.1,7.26,7.68,8.57,38.5,7.7,1
71,6.56,6.52,6.33,7.0,7.29,33.699999999999996,6.739999999999999,1
72,6.74,6.79,7.15,7.14,7.68,35.5,7.1,1
74,6.22,7.0,6.0,6.39,6.43,32.04,6.4079999999999995,1
75,7.33,8.03,7.93,8.11,8.04,39.44,7.888,1
76,7.63,6.59,6.52,4.93,6.43,32.099999999999994,6.419999999999999,1
77,6.22,6.38,6.41,5.93,6.18,31.119999999999997,6.223999999999999,1
78,7.11,7.07,6.07,5.86,6.86,32.97,6.593999999999999,1
79,5.11,5.62,5.48,5.89,5.79,27.89,5.578,0
80,6.26,6.55,6.63,6.71,7.54,33.69,6.7379999999999995,1
81,6.04,5.86,5.15,5.54,6.04,28.63,5.726,1
82,6.78,6.79,6.96,7.79,8.36,36.68,7.336,1
83,5.11,6.03,6.33,6.5,6.75,30.72,6.144,1
84,6.22,6.38,6.33,6.29,7.96,33.18,6.636,1
85,7.0,6.17,6.33,6.5,6.25,32.25,6.45,0
86,6.3,6.21,6.52,5.93,7.5,32.46,6.492,1
87,6.74,6.62,6.48,6.86,8.25,34.95,6.99,1
88,6.67,6.48,5.89,6.36,5.61,31.009999999999998,6.202,1
89,7.37,7.93,7.07,7.64,8.61,38.620000000000005,7.724000000000001,1
90,6.16,6.66,6.63,6.71,6.96,33.12,6.624,1
92,6.19,6.21,5.7,5.46,6.93,30.490000000000002,6.098000000000001,1
93,6.22,6.28,6.11,6.11,6.54,31.259999999999998,6.252,0
94,5.85,5.66,4.59,5.86,6.0,27.96,5.5920000000000005,1
95,7.37,7.24,6.48,7.18,7.82,36.09,7.218000000000001,1
96,8.63,8.38,8.17,8.73,8.73,42.64,8.528,1
97,6.96,6.69,6.59,6.36,6.79,33.39,6.678,1
98,5.78,5.79,5.22,5.36,6.61,28.759999999999998,5.752,1
99,5.93,5.86,4.7,5.5,6.21,28.2,5.64,1
100,6.59,5.48,4.22,4.75,4.96,26.0,5.2,1
101,6.85,7.41,7.41,7.86,8.14,37.67,7.534000000000001,1
102,6.37,6.59,6.07,5.82,5.86,30.71,6.142,0
103,7.19,6.9,6.52,8.36,7.89,36.86,7.372,0
104,6.37,6.9,4.33,6.96,6.75,31.310000000000002,6.2620000000000005,1
105,7.67,8.21,6.19,8.29,8.54,38.9,7.779999999999999,1
106,6.48,6.55,5.22,5.61,6.18,30.04,6.008,1
107,8.7,7.83,7.56,8.11,8.07,40.27,8.054,1
108,6.81,7.07,5.7,6.29,8.07,33.94,6.787999999999999,1
109,6.37,5.59,6.33,7.07,7.81,33.17,6.634,0
110,6.11,6.55,5.56,6.86,7.0,32.08,6.4159999999999995,1
111,7.89,8.72,8.19,8.54,9.11,42.449999999999996,8.489999999999998,1
112,7.89,7.97,6.81,8.54,8.0,39.209999999999994,7.841999999999999,1
113,7.37,5.86,7.0,7.82,8.21,36.260000000000005,7.252000000000001,0
114,7.48,7.69,7.11,7.93,8.21,38.42,7.684,0
115,9.15,8.86,8.34,9.04,9.19,44.58,8.916,1
116,7.19,7.45,6.63,7.04,7.79,36.1,7.220000000000001,1
118,6.44,6.14,6.19,6.82,7.43,33.019999999999996,6.603999999999999,1
119,6.56,6.14,6.33,6.75,7.14,32.92,6.5840000000000005,1
120,8.0,7.9,7.33,7.47,8.07,38.769999999999996,7.754,1
121,7.15,6.34,6.56,6.68,6.54,33.27,6.654000000000001,1
122,7.3,7.07,6.67,6.0,6.11,33.15,6.63,1
123,8.44,7.28,7.96,8.0,8.29,39.97,7.994,0
124,6.0,5.93,3.96,5.43,6.25,27.57,5.514,1
125,5.78,6.28,4.3,6.43,6.75,29.54,5.9079999999999995,1
126,6.37,5.9,5.81,6.04,6.64,30.759999999999998,6.151999999999999,1
127,6.19,6.62,6.3,6.54,7.43,33.08,6.616,1
128,6.74,6.72,7.04,7.93,8.32,36.75,7.35,1
129,5.52,5.72,6.07,7.11,7.79,32.21,6.442,1
130,6.3,6.48,5.63,6.21,6.39,31.01,6.202,1
131,6.89,6.69,5.67,6.07,7.39,32.71,6.542,1
132,7.0,7.41,6.37,6.57,7.79,35.14,7.0280000000000005,1
133,6.07,6.07,5.89,6.54,7.81,32.38,6.476000000000001,1
134,7.11,7.34,6.85,7.96,8.14,37.4,7.4799999999999995,1
135,9.15,9.21,9.59,9.31,9.46,46.72,9.344,0
136,7.78,6.86,7.26,7.82,8.36,38.08,7.616,1
137,7.59,7.76,7.0,8.32,8.21,38.88,7.776000000000001,0
138,7.11,7.41,7.0,7.32,8.32,37.16,7.4319999999999995,1
139,6.26,6.0,6.07,5.36,6.21,29.9,5.9799999999999995,1
140,8.3,7.97,8.33,8.29,8.61,41.5,8.3,1
142,6.96,6.24,6.85,7.21,7.71,34.97,6.994,1
143,8.22,8.76,7.74,8.46,8.38,41.56,8.312000000000001,0
144,7.15,6.79,6.75,6.78,6.62,34.09,6.8180000000000005,1
145,7.07,7.66,7.22,7.86,7.31,37.12,7.4239999999999995,0
146,7.52,7.82,7.67,8.21,8.38,39.6,7.92,1
147,6.33,6.76,5.7,5.18,5.31,29.279999999999998,5.856,1
148,7.33,6.62,6.26,6.33,6.81,33.35,6.67,1
149,7.89,7.97,7.59,8.25,9.35,41.05,8.209999999999999,1
150,6.44,6.43,6.52,7.04,6.62,33.05,6.609999999999999,1
151,6.96,6.41,6.33,5.57,5.35,30.620000000000005,6.1240000000000006,1
152,7.0,6.34,6.07,6.14,7.0,32.55,6.51,0
153,6.26,5.55,6.15,5.04,5.08,28.08,5.616,1
154,7.22,6.76,7.48,7.93,7.77,37.16,7.4319999999999995,1
155,6.41,6.48,6.41,6.68,7.08,33.06,6.612,1
156,5.96,6.1,6.07,5.36,5.12,28.61,5.7219999999999995,1
157,7.19,7.97,7.3,8.04,8.15,38.65,7.7299999999999995,1
158,7.14,7.79,6.93,7.64,8.65,38.15,7.63,1
159,7.19,7.1,6.7,7.36,7.38,35.73,7.145999999999999,1
160,6.85,6.41,6.19,6.68,6.96,33.089999999999996,6.617999999999999,1
161,8.0,8.07,7.96,8.46,8.62,41.11,8.222,1
162,7.59,7.48,7.41,7.18,7.92,37.58,7.516,1
163,6.7,7.34,7.11,7.32,7.35,35.82,7.164,1
164,7.59,7.31,7.11,7.68,7.65,37.339999999999996,7.467999999999999,1
165,7.07,6.38,5.3,5.43,4.77,28.95,5.79,1
166,6.44,6.48,6.78,6.29,5.81,31.8,6.36,1
167,7.19,7.0,6.74,7.04,7.04,35.01,7.002,1
169,6.63,7.03,7.0,6.75,7.38,34.79,6.958,1
170,7.33,7.34,7.22,7.25,7.08,36.22,7.244,1
172,7.0,7.41,7.15,7.04,7.81,36.410000000000004,7.282000000000001,1
173,7.48,7.55,7.67,7.39,8.65,38.74,7.748,0
174,7.3,6.41,6.59,7.11,7.38,34.79,6.958,1
175,6.3,6.28,5.89,5.71,6.5,30.68,6.136,1
176,7.04,7.1,6.81,7.0,6.92,34.87,6.973999999999999,1
177,6.7,6.81,6.52,5.39,7.0,32.42,6.484,1
